Principal Component 1,Principal Component 2,Principal Component 3
-0.49097699455642163,0.22083055555320968,0.004709107402059098
-0.5111939759075299,0.2511670660231739,0.006269751851248086
-0.4855543989348281,0.2117940552681719,0.004117644907788012
-0.48007611485680135,0.20322377563455202,0.003627524307373311
-0.4984298758776121,0.23101433999425497,0.0050923564856616595
-0.4730046509587309,0.19330292347573835,0.0032142671354392534
-0.49133838378318384,0.22234120580218336,0.004923076520764982
-0.5109055313448229,0.2501797722900117,0.006140944354048793
0.5298022409969544,0.07470015759077059,0.453569397898037
0.5693157815248778,0.11976191220229271,0.10384795140017468
0.5925295353607409,0.15175136248953408,-0.24012682807618502
0.6020807424999614,0.15180488685979193,-0.14868965085997937
0.5322008586781038,0.0768194513827728,0.44587980491865165
0.5692936287614295,0.1312670720684757,-0.15206035831240833
0.580780896211781,0.13708368248811237,-0.04447031452763266
0.6375597389993456,0.18551129597314525,-0.3245367538597067
-0.11322603500348907,-0.3370955787223258,-0.02305766429820806
-0.10322603500348908,-0.3270955787223258,-0.02305766429820806
-0.09822603500348907,-0.3220955787223258,-0.02305766429820806
-0.09322603500348907,-0.3170955787223258,-0.02305766429820806
-0.08822603500348908,-0.3120955787223258,-0.02305766429820806
-0.08322603500348907,-0.3070955787223258,-0.02305766429820806
-0.07822603500348907,-0.30209557872232584,-0.02305766429820806
-0.07322603500348907,-0.29709557872232584,-0.02305766429820806
0.23372478321464882,-0.11578888531758424,0.05295339284033064
