Principal Component 1,Principal Component 2
0.4652634157462072,0.20958896591680898
0.486696790927477,0.24079145114620237
0.460559843193828,0.20127426911497748
0.4551584468932467,0.19284036170936636
0.47432614080885466,0.2211520707343697
0.44685957718986913,0.18188464788491776
0.4645214165347436,0.21008814008581933
0.48703522041476155,0.2403798172057633
-0.5540811985607437,0.07125839789240168
-0.5948721748413457,0.11331182853774036
-0.6187288363999446,0.1433829329349221
-0.6271504041206106,0.14551161354189823
-0.5565316693497916,0.07326587629909243
-0.5951992598254607,0.12363354247380509
-0.6076081674710464,0.12812129010385176
-0.6633630412505023,0.17752422145092617
0.08578803005959325,-0.34663328645108116
0.09578803005959324,-0.33663328645108115
0.10078803005959325,-0.33163328645108114
0.10578803005959325,-0.32663328645108114
0.11078803005959326,-0.32163328645108114
0.11578803005959325,-0.31663328645108113
0.12078803005959325,-0.3116332864510811
0.12578803005959324,-0.3066332864510812
0.39080965963371095,0.09905686457578383
