Principal Component 1,Principal Component 2
0.47954147218694493,0.22018220300960883
0.4995231180813761,0.25071659075876657
0.47417922328207296,0.21107334696758856
0.46876362994777315,0.20244194943749888
0.48690451511115246,0.23041751035124708
0.4617766102244459,0.19246667648740007
0.4799016415645306,0.22171714442833074
0.4992363209139906,0.2497145904797034
-0.5386875155099891,0.06881115092598006
-0.5800148227929021,0.11032974600205797
-0.6042601440469844,0.14007628001956202
-0.6127011362168024,0.1421098602468689
-0.5411631088987847,0.07078760705696385
-0.5804834857153021,0.12062527421533692
-0.5929426190484153,0.12496752955386031
-0.6493165757326536,0.17365946760094092
0.10621785958119329,-0.34126211594271444
0.11621785958119328,-0.33126211594271443
0.12121785958119329,-0.3262621159427144
0.12621785958119328,-0.3212621159427144
0.13121785958119328,-0.3162621159427144
0.13621785958119328,-0.3112621159427144
0.1412178595811933,-0.30626211594271446
0.1462178595811933,-0.30126211594271446
