Principal Component 1,Principal Component 2,Principal Component 3
0.4652634157462072,0.20958896591680898,0.003888049906512713
0.486696790927477,0.24079145114620237,0.005138719911657017
0.460559843193828,0.20127426911497748,0.003391455553040313
0.4551584468932467,0.19284036170936636,0.002989890525832553
0.47432614080885466,0.2211520707343697,0.004170058406084028
0.44685957718986913,0.18188464788491776,0.0026760589423052775
0.4645214165347436,0.21008814008581933,0.00408385542448211
0.48703522041476155,0.2403798172057633,0.0050215624376376625
-0.5540811985607437,0.07125839789240168,0.4566523212110627
-0.5948721748413457,0.11331182853774036,0.10757171714657748
-0.6187288363999446,0.1433829329349221,-0.237027566537146
-0.6271504041206106,0.14551161354189823,-0.1471273189834655
-0.5565316693497916,0.07326587629909243,0.44904511735272395
-0.5951992598254607,0.12363354247380509,-0.14916809879714038
-0.6076081674710464,0.12812129010385176,-0.0390137116667832
-0.6633630412505023,0.17752422145092617,-0.32235858007390195
0.08578803005959325,-0.34663328645108116,-0.018650548434469276
0.09578803005959324,-0.33663328645108115,-0.018650548434469276
0.10078803005959325,-0.33163328645108114,-0.018650548434469276
0.10578803005959325,-0.32663328645108114,-0.018650548434469276
0.11078803005959326,-0.32163328645108114,-0.018650548434469276
0.11578803005959325,-0.31663328645108113,-0.018650548434469276
0.12078803005959325,-0.3116332864510811,-0.018650548434469276
0.12578803005959324,-0.3066332864510812,-0.018650548434469276
0.39080965963371095,0.09905686457578383,-7.29143283724306E-4
